,index,customer_type,session_duration_microseconds,signed_up,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,price,quantity,total_cost,entered_store,visited_purposeful_shelves,entered_dm,visited_digi_me,visited_personalised_store,entered_welcome,entered_purposeful_shelves,cos_month,cos_wday,completed_transaction
449,1260,1,0.0004212245398801,0,5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.9749279121818236,0
450,569,0,0.0007293277097148,0,9,0,4,0,0,0.0005764120561452,0,0,0,0,0.0,0.0,0.0,1,1,0,0,1,1,1,0.3090169943749474,0.7818314824680298,0
451,557,1,0.0421853365536852,1,31,0,5,0,0,2.6574420937196768e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.7818314824680298,0
452,213,1,0.0114631377363434,1,49,0,1,14,0,2.5228236406893446e-06,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,1,0.5877852522924731,0.4338837391175582,0
453,646,0,0.0001774409166156,0,5,0,0,0,0,0.0692369283314959,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.9749279121818236,0
454,255,0,0.0166512612443877,0,27,0,0,15,0,1.3605458138534983e-05,4,2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
455,690,1,1.626705466907858e-05,0,4,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.7818314824680298,0
456,1319,1,0.000203160434739,0,7,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
457,596,0,0.0521976003738831,0,25,0,0,1,0,6.800623014589034e-05,0,0,1,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9749279121818236,0
458,268,0,0.0034541630351645,0,20,0,0,25,0,4.62983619352483e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.4338837391175582,0
459,421,0,0.017989541145113,0,10,0,6,2,0,0.0003694899497127,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.4338837391175582,0
460,60,1,0.5149035167239958,1,221,1,25,97,1,0.0003562867028137,16,5,0,0,0.0,0.0,0.0,1,1,0,0,1,1,1,0.5877852522924731,0.7818314824680298,0
461,360,0,0.0418978084356031,0,14,0,0,0,0,0.0056265330344009,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.7818314824680298,0
462,980,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.9009688679024191,0
463,1188,0,0.0001819692199957,0,5,0,0,0,0,0.0005104860782069,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.6234898018587336,0
464,1096,0,0.0147736675289478,0,21,0,0,22,0,9.644117295900062e-06,4,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.9009688679024191,0
465,1100,0,7.838872608921102e-05,0,2,0,0,0,0,0.0006868728931991,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
466,773,0,0.0,0,1,0,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
467,798,0,0.2452136579899815,0,159,0,4,31,0,0.0003030023301286,1,1,0,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.4338837391175582,0
468,1152,0,0.0002310776961189,0,2,0,0,0,0,4.505788841017774e-09,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
469,169,0,0.0011805357563001,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.6234898018587336,0
470,1349,1,0.0001898390919999,0,6,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.7818314824680298,0
471,1021,0,0.000156513796848,0,2,0,0,0,0,0.0007645040276137,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.9009688679024191,0
472,283,0,0.0010470598606212,0,5,0,4,0,0,0.0005086353396701,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0.5877852522924731,0.6234898018587336,0
473,724,0,0.000192432735915,0,3,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.4338837391175582,0
474,878,1,0.0012629692198234,0,13,0,1,5,0,6.874415304450376e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
475,242,0,0.0003706214013815,0,5,0,1,2,0,8.864296565595924e-08,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.7818314824680298,0
476,847,1,0.0001072296823983,0,3,0,0,2,0,2.2261848332627002e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.4338837391175582,0
477,199,0,0.0043806704637832,0,15,0,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,6.123233995736766e-17,0.7818314824680298,0
478,41,1,0.0106947255969095,1,15,0,1,0,0,3.499731093021295e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9749279121818236,0
479,433,0,0.1106062028735048,0,13,0,0,0,0,1.5328592304938985e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.7818314824680298,0
480,1016,1,0.1928088538507904,1,84,0,2,18,0,0.0003060844046371,1,1,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,0.1564344650402309,0.9749279121818236,0
481,244,1,0.0823833887066263,1,27,0,3,16,0,4.3218010074204177e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.7071067811865476,0.7818314824680298,0
482,1047,0,0.0027571921258087,0,10,0,0,0,0,1.1370910455989128e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.9009688679024191,0
483,935,1,0.0957583244805208,1,68,0,9,4,0,0.079424325546481,0,0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,1,0.4539904997395468,0.9009688679024191,0
484,161,0,0.0008628919301492,0,2,0,0,0,0,0.0002110586122185,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
485,331,0,0.0002617209346711,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.9009688679024191,0
486,548,1,0.0508655197806725,1,77,0,13,20,0,2.71304537259497e-05,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
487,981,0,0.0013068460039338,0,2,0,0,0,0,0.0009716258559572,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.9009688679024191,0
488,374,0,0.2090757319143226,0,13,0,4,6,0,0.000275753706318,0,1,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.4338837391175582,0
489,1303,1,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.7071067811865476,0.9009688679024191,0
490,539,0,0.0083963912592519,0,3,0,0,0,0,0.0003910845589563,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.7071067811865476,0.6234898018587336,0
491,257,0,0.0173459446349018,0,2,0,0,0,0,0.0002826826407387,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.6234898018587336,0
492,44,1,0.1154327178861776,1,31,0,5,3,0,0.0001353652952777,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0.1564344650402309,0.9009688679024191,0
493,606,0,0.0941865035506501,0,31,0,13,2,0,2.2899147249747225e-05,0,0,0,2,0.0,0.0,0.0,1,0,1,0,1,1,1,0.1564344650402309,0.6234898018587336,0
