event_date,session_timestamp,event_wday,user_id,user_customer_id,session_duration_microseconds,visited_personalised_store,personalise_store_pageviews,visited_purposeful_shelves,purposeful_shelves_pageviews,visited_digi_me,digi_me_pageviews,entered_store,entered_purposeful_shelves,entered_dm,entered_welcome
26/07/2022,1.65883E+15,Tuesday,99ea1a7acf477a89dc63bdc9bcbb457d,Jt5BvcmpiUXU107rc1ySvTgTq4A2,5701936004,0,0,1,4,0,0,1,1,1,1
26/07/2022,1.65884E+15,Tuesday,e83a33f72e24195902157cbd7948815f,PrAuQmY5qxZiJNyLRRRIIxCJpui2,302414008,1,18,1,10,0,0,1,1,1,1
26/07/2022,1.65883E+15,Tuesday,06465f703c9e466a2c340731a4a7330d,zBROU9jIdMhf9cFAs49YrLeiVHU2,423010001,1,2,1,131,0,0,1,1,1,1
26/07/2022,1.65885E+15,Tuesday,B6D2710FBB0A4E77805D055D8450A394,c0bB50ZnccO2HKJWlvTypdxWPo32,2339423010,1,2,1,23,0,0,1,1,1,1
26/07/2022,1.65883E+15,Tuesday,b91328642125c34635dc9abbdb4d4d38,7DBOyNkTmIbgh8gkB7aNdNGClO62,15811813054,1,5,1,48,0,0,1,1,1,1
26/07/2022,1.65883E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,GyQYQpYoUNcWxOJKtyGe5MxXD9j2,12941472000,1,3,1,5,0,0,1,1,0,1
26/07/2022,1.65883E+15,Tuesday,65fe7b5d2163cf33a20fdb612bdd1004,7iGXxZpjIKhKg3WYwbBb5ityvki2,29933192095,1,10,1,183,0,0,1,1,1,1
23/08/2022,1.66124E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,13409912015,0,0,1,1,0,0,1,0,1,1
04/10/2022,1.66488E+15,Tuesday,6073C1FFAA26452A922E43F33F55EDA6,m7B3CDKCROWoPWwEF9VZVgNzk9r2,15466185003,0,0,1,1,0,0,1,1,1,1
04/10/2022,1.66489E+15,Tuesday,98376ED5FAEA4B779FFB8E17D51C0CA4,mZhPRMCe6ihCGgr4WLNKA74Lfcq2,2087823032,1,6,1,3,0,0,1,1,0,1
20/09/2022,1.66367E+15,Tuesday,6073C1FFAA26452A922E43F33F55EDA6,m7B3CDKCROWoPWwEF9VZVgNzk9r2,19890462014,1,1,1,4,0,0,1,1,1,1
12/07/2022,1.65763E+15,Tuesday,26852217116F4F0AAEDA1750A02D3E6F,EERMqgPi5fUcSD3V4tRcI6KNvHp1,1550011001,0,0,1,5,0,0,1,1,1,0
12/07/2022,1.65761E+15,Tuesday,A2ECCB4200624749A49AEEEB39069423,CK8zzagBwJaJz3eygIuvIWBL4Mu1,31427046003,1,2,1,5,0,0,1,1,1,1
21/06/2022,1.6558E+15,Tuesday,A2ECCB4200624749A49AEEEB39069423,059VyWLoggdNE5iYtEKRPmN0Sk03,21602464009,0,0,1,21,0,0,1,1,1,1
21/06/2022,1.6558E+15,Tuesday,e4e33b3c42f3c05e6ecc113b4532e044,K9KeA6etCVe1opm6b1ThDsMiVW33,17808443053,1,18,1,212,0,0,1,1,1,1
09/08/2022,1.66003E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,31894475001,0,0,1,1,0,0,1,1,1,1
06/09/2022,1.66246E+15,Tuesday,0DF35A4E5D2843B088016A4BE4166BB4,tX16o8oiCdT7bkmfqKE920zHg822,4055260001,0,0,1,13,0,0,1,1,0,1
06/09/2022,1.66248E+15,Tuesday,1FF256035BA247B0AF2480887ABD0434,0HvwSMtHYxPlehKCj1ALRXRixRF2,4505546012,0,0,1,4,0,0,1,1,0,1
06/09/2022,1.66246E+15,Tuesday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,3430933008,1,1,1,4,0,0,1,1,1,1
